"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","hidden_size","learning_rate","num_epochs","num_layers","Training loss (average)","val_loss"
"polar-sweep-51","gxolfudw","polar-sweep-51","finished","-","lgblkb","","2020-05-06T16:43:49.000Z","32","50gn5vbb","20000","134","0.015015973289381136","45","10","0.005371152423322201","0.004869990516453981"
"rare-sweep-15","2qwsou7s","rare-sweep-15","finished","-","lgblkb","","2020-05-06T15:53:31.000Z","30","50gn5vbb","20000","196","0.005538905794477888","6","9","0.004828323784749955","0.004871812649071217"
"winter-sweep-36","k7mna2ns","winter-sweep-36","finished","-","lgblkb","","2020-05-06T16:20:51.000Z","26","50gn5vbb","20000","122","0.014264674434754257","48","10","0.008095233817584813","0.0052184914238750935"
"light-sweep-26","cwx294m0","light-sweep-26","finished","-","lgblkb","","2020-05-06T16:04:46.000Z","31","50gn5vbb","20000","68","0.0599037337237391","24","4","0.007440449902787805","0.009339598938822746"
"winter-sweep-60","t5xgl0ia","winter-sweep-60","finished","-","lgblkb","","2020-05-06T16:57:34.000Z","15","50gn5vbb","20000","134","0.061631776744634915","2","3","0.07614077115431428","0.012042575515806677"
"crimson-sweep-17","23xcopx1","crimson-sweep-17","failed","-","lgblkb","","2020-05-06T15:53:53.000Z","11","50gn5vbb","20000","13","0.09338366967368336","5","8","",""
"serene-sweep-14","3dn049i6","serene-sweep-14","failed","-","lgblkb","","2020-05-06T15:53:20.000Z","9","50gn5vbb","20000","192","0.07938213870765541","4","2","",""
"wise-sweep-12","3x9v16mc","wise-sweep-12","failed","-","lgblkb","","2020-05-06T15:52:54.000Z","9","50gn5vbb","20000","171","0.09461856697195524","2","10","",""
"brisk-sweep-18","55ttfta3","brisk-sweep-18","finished","-","lgblkb","","2020-05-06T15:54:05.000Z","7","50gn5vbb","20000","45","0.06383245473968296","39","4","",""
"toasty-sweep-45","7rut6bmb","toasty-sweep-45","crashed","-","lgblkb","","2020-05-06T16:36:05.000Z","0","50gn5vbb","","118","0.0046651935025359675","32","8","",""
"eager-sweep-89","emxcqfg3","eager-sweep-89","running","-","lgblkb","","2020-05-06T17:42:11.000Z","0","50gn5vbb","","148","0.007760739078266355","23","6","",""
"vague-sweep-8","iblxha4q","vague-sweep-8","failed","-","lgblkb","","2020-05-06T15:52:00.000Z","12","50gn5vbb","20000","26","0.0019750326221829617","2","3","",""
"ruby-sweep-16","iie90umg","ruby-sweep-16","failed","-","lgblkb","","2020-05-06T15:53:35.000Z","11","50gn5vbb","20000","14","0.0020411987126120676","11","10","",""
"misty-sweep-13","iy35p4eu","misty-sweep-13","failed","-","lgblkb","","2020-05-06T15:53:06.000Z","10","50gn5vbb","20000","196","0.09721675629707022","50","2","",""
"scarlet-sweep-10","l2wljfg9","scarlet-sweep-10","failed","-","lgblkb","","2020-05-06T15:52:25.000Z","10","50gn5vbb","20000","21","0.021281118480852464","12","2","",""
"neat-sweep-6","oukqclht","neat-sweep-6","failed","-","lgblkb","","2020-05-06T15:51:31.000Z","10","50gn5vbb","20000","16","0.07651155519383435","42","10","",""
"exalted-sweep-5","pvn81rf2","exalted-sweep-5","failed","-","lgblkb","","2020-05-06T15:51:14.000Z","10","50gn5vbb","20000","19","0.028379751621069437","47","3","",""
"light-sweep-11","tblwdfq0","light-sweep-11","failed","-","lgblkb","","2020-05-06T15:52:42.000Z","10","50gn5vbb","20000","193","0.013571879347002856","49","2","",""
"firm-sweep-3","yctul1xl","firm-sweep-3","crashed","-","lgblkb","","2020-05-06T15:50:53.000Z","0","50gn5vbb","","17","0.09546391634958114","30","2","",""
"earnest-sweep-7","yqcvwehq","earnest-sweep-7","failed","-","lgblkb","","2020-05-06T15:51:43.000Z","11","50gn5vbb","20000","35","0.017139551109272372","50","9","",""
